x,y,,Hex,Terrain,Settlement,,Author,Description,More Info URL,Themes
05,13,,0513,tundra,,,Dan Cassar,"A vast, frozen plain.  The only notable thing is the remains of half-eaten horse.",,
05,14,,0514,hill,,,Brian Green,"A hidden terrace farm, growing various root vegetables.  Tended by members from [[ILLY'S HAVEN]] in [[0515]].",,
05,15,,0515,mountain,ILLY'S HAVEN,,Brian Green,[[ILLY'S HAVEN]] is a small town hidden within a cave system in the mountains.  The townspeople are suspicious and potentially even hostile to outsiders; everyone here is a lycanthrope trying to control their condition far away from civilization.,,LYCANTHROPES
05,16,,0516,hill,,,Dan Cassar,A large party of ice goblins from the [[HALL OF THE MOUNTAIN KING]] in Hex [[0415]] have managed to corner and capture a young frost giant here and are now amusing themselves by torturing it to death over the last several days.,,"ICE GOBLINS, GOBLINS"
05,17,,0517,hill,,,Ben Djarum,"A party of adventurers is frozen in a block of ice - 2 dwarf clerics, 1 human fighter, 1 human magic user, 1 elf thief and a halfling bard. They were frozen mid-battle with an ice wizard.",,
05,18,,0518,tundra,FUSEN'S HOLDFAST,,Ed Hackett,"[[FUSEN'S HOLDFAST]] the now ruined keep is home to a small clan of ravening halfling werewolves. They are keenly aware of the fortifications at [[RAVENSGATE]] in Hex [[0519]] and avoid the place, if possible.",,"LYCANTHROPES, WEREWOLVES"
05,19,,0519,hill,RAVENSGATE,,Ben Djarum,"The city of [[RAVENSGATE]] - a city ruled by the mad King Elgor. The city is surrounded by high walls that are manned with hundreds of soldiers. King Elgor believes that any day, his city will be raided and sacked by barbarians and werewolves. The entire population of the city keep a constant vigil, waiting for an invasion that may or may not ever come.",,"LYCANTHROPES, WEREWOLVES"
05,20,,0520,tundra,,,Trent B,"A half buried undead warband (140 strong) is frozen amongst the lichen and fir trees here. Their semi living, necromantic mistress, Caroline Hexfeather, possesses books and maps to the Three Despairs (Hexes [[0112]], [[1409]], [[1817]]) in the area, but she lies shattered and buried amongst her creations. Any of the warband, including Caroline, exposed to moonlight will reanimate in D6 hours, and set about releasing their mistress/fellows to resume Caroline's Despair quest.",,"THE THREE DESPAIRS, UNDEAD"
06,01,,0601,tundra,,,Joey Lindsey,"Arctic Umber Hulks burrow under the surface, weakening the ice; the passage of Firgax [[0201]] didn't help any. There are also Ice Toads that collect humanoid arms by tearing them off with their long, strong tongues.﻿",,
06,02,,0602,hill,,,Pearce Shea,"Snow falls skywards here and any who sleep in this hex are compelled for the following 24 hours to divulge any long-held, close-kept secret. They spend this time preoccupied with nightmares of a world unchanging.",,
06,03,,0603,hill,,,George E. Williams IV,Yellow snow.,,
06,04,,0604,forest,,,Pearce Shea,"These frozen woods are thick with wights and draugr decked out in ancient clothing, and extensive searching will reveal that the hills beneath the wood appear to be man-made and carved in incredibly detailed and large, albeit crude, motifs featuring squat frogs and radiant beings in armor, descending from the stars.",,TOAD GODS
06,05,,0605,forest,,,Ben Djarum,A pack of 1d12 white wolves.,,
06,06,,0606,forest,,,Steve Sigety,"A cleric has made camp in these woods, and is reciting prayers to Our Blessed Lady of the Early Frost.﻿",,
06,07,,0607,tundra,,,Zak Smith,"A series of squat dwarven towers linked by an old aqueduct the used to bring meltwater from the peak at Hex [[1007]] . One is solidly locked, requiring the key from Hex [[0401]] or storm giant strength to open—it contains 8400gp worth of ancient gold and a passage that breaks into the Catacombs of the Toad Gods from Hex [[0614]].",,"TOAD GODS, DWARFS, KEYS & KEYHOLES"
06,08,,0608,tundra,,,George E. Williams IV,A group of white furred yeti performing a primal dance of frenzy before continuing to hunt the cleric in Hex [[0606]]. They sport primitive looking holy symbols that make the eyes water and emit a flickering bluish radiance.,,YETI
06,09,,0609,tundra,THE CITY OF THE 800 TEETH,,Zak Smith,[[THE CITY OF THE 800 TEETH]] White elf city amed for the concentric tiers of crenellated walls surrounding it. The moat surrounding the colossal palace is filled with worms.,,"WHITE ELVES, ELVES"
06,10,,0610,tundra,,,Steve Sigety,A bubbling tar pit has erupted from the earth and a herd of 2d6 mastodons are stuck.,,MASTODONS
06,11,,0611,tundra,,,Ben Djarum,A half-orc steering a raft through the fens. Paying for passage is the daughter of the Amazon in Hex [[0511]],,AMAZONS
06,12,,0612,hill,PTRANG,,George E. Williams IV,"[[PTRANG]] City of demon monkeys. Winged, red assed, white-furred, arctic, fiendish monkeys with a taste for human flesh and a fear of wood.",,
06,13,,0613,hill,,,George E. Williams IV,Yellow Snow and disturbingly large footprints.,,
06,14,,0614,mountain,,,Zak Smith,"The Eighth Monument of the Toad Gods is carved in blue veined obsidian. The silver key in Hex [[0312]] opens the hatch in the great toad's right eye. The passage within leads to the Catacombs of the Toad Gods, and stretches in the direction of the the dwarven tower in Hex [[0607]].",,"TOAD GODS, KEYS & KEYHOLES"
06,15,,0615,mountain,MOUNTAIN KINGDOM OF MIGORFROST,,Ben Djarum,A frozen waterfall conceals the entrance to the [[MOUNTAIN KINGDOM OF MIGORFROST]] - Son of Cryonax and Lord of the Yeti,http://codexapocrypha.blogspot.com/2013/04/the-krall-migorfrost.html,YETI
06,16,,0616,hill,,,Zak Smith,"A massive slanting asymmetrical structure of rusted metal and thick colored glass, mostly hidden beneath the snow. Inside is a diseased unicorn mired in a pit full of intestines.",,
06,17,,0617,tundra,,,Ed Hackett,an Arctic Tyrranosaur (heavily feathered in garish colours) ranges here. It's nest is tucked away in a frost-covered fen. it is responsible for killing most of the game animals in the area.,,DINOSAUR
06,18,,0618,tundra,,,Zak Smith,"Frozen bubbles scattered across the plain, some as much as ten inches across.",,
06,19,,0619,hill,,,Brian Green,"Dead magic zone: arcane casters cannot cast any spells, divine casters cannot channel divine power (turn undead, etc.).  Divine healing may be cast, but at half potency.",,
06,20,,0620,tundra,,,George E. Williams IV,A huge skull shaped structure of stone.  The silver key in Hex [[0312]] opens the jaws if inserted in its ear. Behind the open jaw rough stone stairs descend while vaguely discordant flute music comes from below.,,KEYS & KEYHOLES
07,01,,0701,tundra,,,Zak Smith,Gibbets at a crossroads containing 2d6 living criminals.,,
07,02,,0702,tundra,,,Zak Smith,A narrow rope bridge over a 200' gorge. A pack of snow leopards have learned to attack prey from both sides when they're halfway across.,,
07,03,,0703,tundra,,,Jez Gordon,"A 40' post rising from the swamps, with wind chimes audible for a mile of more. The chimes are made of frozen children.",,
07,04,,0704,hill,,,George E. Williams IV,The Land of Frozen Screams. If thawed each one dissolves dealing 2d6 sonic damage to all within 5 feet.,,
07,05,,0705,forest,,,Pearce Shea,"A single grey rock dominates the landscape. If the skull of the Cleric in Hex [[0606]] is placed upon the rock, Dzjarmud, Princess of the Frost Elementals will appear and grant one person a diamond-hard set of mail hammered from ice. Placing a Frozen Scream from Hex [[0704]] in the jaws of the Cleric's skull will bind the Princess for seven turns and she will do as the party bids.",,
07,06,,0706,tundra,,,Jez Gordon,A guttering sputtering camp fire in each forested valley; all abandoned as if moments before.,,
07,07,,0707,tundra,,,Jez Gordon,A lonely barn of rotting thatch and frozen dogs. Beneath the floor boards lies a hidden barrel; in the barrel lies a strange collection of crystal shards.,,
07,08,,0708,tundra,,,Jez Gordon,"More frozen dogs. Stacked in towers of prime numbers. The collar of one of the large dogs has a tuckerbox tied to it, with a soundless whistle inside.",,
07,09,,0709,tundra,,,Jez Gordon,"Dogsledder, alone, looking for his missing animals. He has a large sled with urgent supplies bound for the nearest settlement, but is bogged in the marshes. He promises a handsome reward for those who help him drag the sled to town.",,
07,10,,0710,tundra,,,William Broom,Statue of legendary warrior pointing east. Drag marks indicate the direction of the statue was changed recently.,,
07,11,,0711,hill,,,Jez Gordon,Statue of a cowering beast. It sits atop a hidden shrine to the wrongly accused.,,
07,12,,0712,hill,,,Reece Carter,"Ice goblin raiding party, there are 1D10+12 of them. They will attempt to overwhelm the party and knock them out to take them back to the ice goblin king in Hex [[0415]]",,"ICE GOBLINS, GOBLINS"
07,13,,0713,hill,,,Zak Smith,"Lonely scholar breeds snails in an old grey tower. He has information on 5 random hexes, roll d20d20 to determine which.",,
07,14,,0714,hill,,,Zak Smith, Blackbirds and grey oozes feasting on the corpse of a frost giant.,,"FROST GIANTS, GIANTS"
07,15,,0715,mountain,,,Richard G,A qanat (underground artificial water channel) leads from here to the [[THE HALL OF THE MOUNTAIN KING]] in Hex [[0415]]. 4 ice goblins are slowly but methodically vandalising it. A microclimate allows palm trees and fruit orchards to flourish in a tiny hollow in the rocks. Fresh water and hallucinogenic blue peppers are plentiful.,,"ICE GOBLINS, GOBLINS"
07,16,,0716,hill,,,Richard G,A camp of 11 pygmy yeti. They have 45 days worth of iron rations individually wrapped jn metal foil and copper jewelry that never tarnishes.,,YETI
07,17,,0717,tundra,,,Richard G,"Two dog sleds stand unguarded in the open, each pulled by 12 huskies. The drivers have been shot; their bodies are still warm. A pair of small, dirty children cower in a dry creek bed 50 yards behind the sleds. The sleds are loaded with obsidian fragments and letters for [[MYTHILLI]] (in Hex [[1009]]).",,
07,18,,0718,tundra,,,Martin Bay Thomsen,"Snow-Catoblepas, its body is buried in the snow while its oversized head rests on the surface. Barbarians have buried it here to ward off intruders from their caves while they are hunting.",,
